source,dest,prompts,seed_train,seeds,source id,dest id
bighorn,marmot,"['An image of {}', 'A photo of {}', '{}']",7316,"[6843, '37720', '39243']",349,336
hammerhead,tiger shark,"['An image of {}', 'A photo of {}', '{}']",6377,"['19436', '4913', '61965']",4,3
hen,suit,"['An image of {}', 'A photo of {}', '{}']",5247,"['82818', '2951', 3160]",8,834
junco,basset,"['An image of {}', 'A photo of {}', '{}']",9355,"[11595, '61076', '9588']",13,161
indigo bunting,American black bear,"['An image of {}', 'A photo of {}', '{}']",5525,"['46534', '73862', '64740']",14,295
bulbul,banjo,"['An image of {}', 'A photo of {}', '{}']",1639,"[71583, 74389, 16800]",16,420
magpie,zebra,"['An image of {}', 'A photo of {}', '{}']",2029,"['66908', 98725, '7841']",18,340
chickadee,skunk,"['An image of {}', 'A photo of {}', '{}']",4970,"['6848', '2806', '85443']",19,361
bald eagle,brown bear,"['An image of {}', 'A photo of {}', '{}']",8712,"['10823', '6991', '58249']",22,294
vulture,coyote,"['An image of {}', 'A photo of {}', '{}']",8644,"[88747, 93788, '1277']",23,272
European fire salamander,goldfinch,"['An image of {}', 'A photo of {}', '{}']",4934,"['38048', '97209', 7125]",25,11
axolotl,anemone fish,"['An image of {}', 'A photo of {}', '{}']",2916,"['27987', '59431', 80574]",29,393
tree frog,dragonfly,"['An image of {}', 'A photo of {}', '{}']",3811,"['954', '50520', '59781']",31,319
leatherback turtle,African crocodile,"['An image of {}', 'A photo of {}', '{}']",2894,"['37756', '13556', '4984']",34,49
banded gecko,spiny lobster,"['An image of {}', 'A photo of {}', '{}']",279,"['85301', '64124', 52274]",38,123
agama,grasshopper,"['An image of {}', 'A photo of {}', '{}']",3455,"[3679, '24586', '52466']",42,311
Komodo dragon,frilled lizard,"['An image of {}', 'A photo of {}', '{}']",5948,"['54327', '84143', '15078']",48,43
American alligator,American lobster,"['An image of {}', 'A photo of {}', '{}']",1150,"[88658, '64155', 66725]",50,122
triceratops,African crocodile,"['An image of {}', 'A photo of {}', '{}']",2066,"['79227', '85365', '50414']",51,49
green snake,snail,"['An image of {}', 'A photo of {}', '{}']",637,"['37216', '60651', 10581]",55,113
green mamba,tailed frog,"['An image of {}', 'A photo of {}', '{}']",3273,"['63286', '48022', '42722']",64,32
sea snake,snail,"['An image of {}', 'A photo of {}', '{}']",2532,"[36861, '10946', '32579']",65,113
barn spider,American lobster,"['An image of {}', 'A photo of {}', '{}']",7863,"[37488, 396, '78983']",73,122
peacock,ostrich,"['An image of {}', 'A photo of {}', '{}']",7322,"['80576', '58581', '57952']",84,9
quail,fig,"['An image of {}', 'A photo of {}', '{}']",8711,"['93127', '60877', '14166']",85,952
partridge,sturgeon,"['An image of {}', 'A photo of {}', '{}']",5593,"['81200', '73244', '82362']",86,394
African grey,Weimaraner,"['An image of {}', 'A photo of {}', '{}']",8238,"[90267, 41725, 62468]",87,178
macaw,hornbill,"['An image of {}', 'A photo of {}', '{}']",1074,"[39442, '43376', '53844']",88,93
coucal,jacamar,"['An image of {}', 'A photo of {}', '{}']",1243,"['50642', '66937', '60132']",91,95
bee eater,house finch,"['An image of {}', 'A photo of {}', '{}']",8810,"['74649', '43358', '83208']",92,12
hummingbird,birdhouse,"['An image of {}', 'A photo of {}', '{}']",7555,"['90683', '5921', '97867']",94,448
wallaby,meerkat,"['An image of {}', 'A photo of {}', '{}']",8167,"['2213', '65323', '23323']",104,299
jellyfish,snail,"['An image of {}', 'A photo of {}', '{}']",500,"['90848', 96767, '68945']",107,113
sea anemone,seashore,"['An image of {}', 'A photo of {}', '{}']",2005,"['64846', 51487, '86572']",108,978
brain coral,spiny lobster,"['An image of {}', 'A photo of {}', '{}']",9380,"['61321', '78156', '6591']",109,123
flatworm,tailed frog,"['An image of {}', 'A photo of {}', '{}']",3876,"[44973, 18035, '71160']",110,32
rock crab,tarantula,"['An image of {}', 'A photo of {}', '{}']",1748,"['60557', '26148', '51292']",119,76
