source,dest,prompts,seed_train,seeds,source id,dest id
man-eater,white shark,"['An image of {}', 'A photo of {}', '{}']",7316,"['39944', '50627', '31100']",2,2
crampfish,electric ray,"['An image of {}', 'A photo of {}', '{}']",5247,[],5,5
numbfish,electric ray,"['An image of {}', 'A photo of {}', '{}']",9355,[],5,5
torpedo,electric ray,"['An image of {}', 'A photo of {}', '{}']",5525,[],5,5
Struthio camelus,ostrich,"['An image of {}', 'A photo of {}', '{}']",2029,"['5109', '32078', '28063']",9,9
Carpodacus mexicanus,house finch,"['An image of {}', 'A photo of {}', '{}']",4970,"['73375', 41758, '12090']",12,12
snowbird,junco,"['An image of {}', 'A photo of {}', '{}']",8712,"[11595, '61076', '9588']",13,13
indigo bird,indigo bunting,"['An image of {}', 'A photo of {}', '{}']",8644,"['46534', '73862', '64740']",14,14
Ascaphus trui,tailed toad,"['An image of {}', 'A photo of {}', '{}']",3455,"['64022', 96101, '20002']",32,32
Chamaeleo chamaeleon,African chameleon,"['An image of {}', 'A photo of {}', '{}']",2532,[],47,47
Carphophis amoenus,worm snake,"['An image of {}', 'A photo of {}', '{}']",8238,[],52,52
Phalangium opilio,daddy longlegs,"['An image of {}', 'A photo of {}', '{}']",8722,[],70,70
Psittacus erithacus,African grey,"['An image of {}', 'A photo of {}', '{}']",7778,"[90267, 41725, 62468]",87,87
Kakatoe galerita,sulphur-crested cockatoo,"['An image of {}', 'A photo of {}', '{}']",2515,[],89,89
Cygnus atratus,black swan,"['An image of {}', 'A photo of {}', '{}']",1438,"[21617, '11306', '33390']",100,100
kangaroo bear,koala bear,"['An image of {}', 'A photo of {}', '{}']",4527,"[25714, '62220', '44294']",105,105
native bear,koala bear,"['An image of {}', 'A photo of {}', '{}']",5225,"[25714, '62220', '44294']",105,105
Phascolarctos cinereus,koala bear,"['An image of {}', 'A photo of {}', '{}']",4642,"[25714, '62220', '44294']",105,105
anemone,sea anemone,"['An image of {}', 'A photo of {}', '{}']",2210,"['64846', 51487, '86572']",108,108
platyhelminth,flatworm,"['An image of {}', 'A photo of {}', '{}']",2608,"[44973, 18035, '71160']",110,110
Cancer irroratus,rock crab,"['An image of {}', 'A photo of {}', '{}']",8354,"['60557', '26148', '51292']",119,119
Paralithodes camtschatica,Alaska king crab,"['An image of {}', 'A photo of {}', '{}']",5684,"[90839, '97271', 46373]",121,121
Homarus americanus,Maine lobster,"['An image of {}', 'A photo of {}', '{}']",9130,"[94727, '13740', '7593']",122,122
rock lobster,spiny lobster,"['An image of {}', 'A photo of {}', '{}']",1926,"[90143, 17110, '47540']",123,123
crawfish,spiny lobster,"['An image of {}', 'A photo of {}', '{}']",339,"[90143, 17110, '47540']",123,123
Ciconia nigra,black stork,"['An image of {}', 'A photo of {}', '{}']",2931,"[8603, '47385', '60712']",128,128
Egretta caerulea,little blue heron,"['An image of {}', 'A photo of {}', '{}']",22,[],131,131
Aramus pictus,limpkin,"['An image of {}', 'A photo of {}', '{}']",4610,"['36769', '87550', 56024]",135,135
Porphyrio porphyrio,European gallinule,"['An image of {}', 'A photo of {}', '{}']",2338,[],136,136
marsh hen,American coot,"['An image of {}', 'A photo of {}', '{}']",3281,"[2776, 39874, '75988']",137,137
mud hen,American coot,"['An image of {}', 'A photo of {}', '{}']",2769,"[2776, 39874, '75988']",137,137
water hen,American coot,"['An image of {}', 'A photo of {}', '{}']",4117,"[2776, 39874, '75988']",137,137
Fulica americana,American coot,"['An image of {}', 'A photo of {}', '{}']",7117,"[2776, 39874, '75988']",137,137
Erolia alpina,dunlin,"['An image of {}', 'A photo of {}', '{}']",8355,"['96769', '78382', 67977]",140,140
Aptenodytes patagonica,king penguin,"['An image of {}', 'A photo of {}', '{}']",1543,"['87768', '92986', '94790']",145,145
mollymawk,albatross,"['An image of {}', 'A photo of {}', '{}']",6951,"['48521', 44553, 69871]",146,146
devilfish,gray whale,"['An image of {}', 'A photo of {}', '{}']",8018,"['44296', '72215', '12221']",147,147
Eschrichtius gibbosus,gray whale,"['An image of {}', 'A photo of {}', '{}']",7022,"['44296', '72215', '12221']",147,147
Eschrichtius robustus,gray whale,"['An image of {}', 'A photo of {}', '{}']",1442,"['44296', '72215', '12221']",147,147
killer,Orcinus orca,"['An image of {}', 'A photo of {}', '{}']",5148,"['91417', '60584', '65653']",148,148
grampus,Orcinus orca,"['An image of {}', 'A photo of {}', '{}']",5436,"['91417', '60584', '65653']",148,148
sea wolf,Orcinus orca,"['An image of {}', 'A photo of {}', '{}']",1919,"['91417', '60584', '65653']",148,148
Maltese,Maltese dog,"['An image of {}', 'A photo of {}', '{}']",7961,"['28107', '95271', '1314']",153,153
Afghan,Afghan hound,"['An image of {}', 'A photo of {}', '{}']",7817,"['99974', '41520', '35440']",160,160
Ibizan Podenco,Ibizan hound,"['An image of {}', 'A photo of {}', '{}']",9487,"['48662', '25378', '52508']",173,173
otter hound,otterhound,"['An image of {}', 'A photo of {}', '{}']",4039,"['3048', '2987', 15533]",175,175
gazelle hound,Saluki,"['An image of {}', 'A photo of {}', '{}']",458,"['10752', '24463', '60109']",176,176
Sealyham,Sealyham terrier,"['An image of {}', 'A photo of {}', '{}']",9622,"[63133, '50205', 87582]",190,190
Boston bull,Boston terrier,"['An image of {}', 'A photo of {}', '{}']",5758,[],195,195
Scotch terrier,Scottish terrier,"['An image of {}', 'A photo of {}', '{}']",569,[],199,199
Scottie,Scottish terrier,"['An image of {}', 'A photo of {}', '{}']",3169,[],199,199
chrysanthemum dog,Tibetan terrier,"['An image of {}', 'A photo of {}', '{}']",1605,"['13886', '84183', '44576']",200,200
Hungarian pointer,vizsla,"['An image of {}', 'A photo of {}', '{}']",4540,"['83534', '40641', '26398']",211,211
clumber,clumber spaniel,"['An image of {}', 'A photo of {}', '{}']",3404,[],216,216
bobtail,Old English sheepdog,"['An image of {}', 'A photo of {}', '{}']",703,[],229,229
coach dog,dalmatian,"['An image of {}', 'A photo of {}', '{}']",451,"['3665', '18392', '57206']",251,251
carriage dog,dalmatian,"['An image of {}', 'A photo of {}', '{}']",9673,"['3665', '18392', '57206']",251,251
monkey pinscher,affenpinscher,"['An image of {}', 'A photo of {}', '{}']",5461,"['88575', '54179', '72437']",252,252
monkey dog,affenpinscher,"['An image of {}', 'A photo of {}', '{}']",4104,"['88575', '54179', '72437']",252,252
Newfoundland,Newfoundland dog,"['An image of {}', 'A photo of {}', '{}']",1984,[],256,256
chow,chow chow,"['An image of {}', 'A photo of {}', '{}']",5639,[],260,260
Pembroke,Pembroke Welsh corgi,"['An image of {}', 'A photo of {}', '{}']",8391,[],263,263
Cardigan,Cardigan Welsh corgi,"['An image of {}', 'A photo of {}', '{}']",2007,[],264,264
Canis lupus tundrarum,Arctic wolf,"['An image of {}', 'A photo of {}', '{}']",4552,"['60106', '18432', '34066']",270,270
brush wolf,coyote,"['An image of {}', 'A photo of {}', '{}']",3612,"[92935, '45269', '79626']",272,272
Canis latrans,coyote,"['An image of {}', 'A photo of {}', '{}']",8482,"[92935, '45269', '79626']",272,272
warrigal,Canis dingo,"['An image of {}', 'A photo of {}', '{}']",3447,"['51693', '50227', 2676]",273,273
warragal,Canis dingo,"['An image of {}', 'A photo of {}', '{}']",5899,"['51693', '50227', 2676]",273,273
hyena dog,African hunting dog,"['An image of {}', 'A photo of {}', '{}']",2509,"['49950', '9064', '83082']",275,275
Cape hunting dog,African hunting dog,"['An image of {}', 'A photo of {}', '{}']",2577,"['49950', '9064', '83082']",275,275
Lycaon pictus,African hunting dog,"['An image of {}', 'A photo of {}', '{}']",8835,"['49950', '9064', '83082']",275,275
Alopex lagopus,Arctic fox,"['An image of {}', 'A photo of {}', '{}']",1411,"['42731', '51092', 11437]",279,279
catamount,mountain lion,"['An image of {}', 'A photo of {}', '{}']",1316,"['44188', '78214', '27706']",286,286
painter,mountain lion,"['An image of {}', 'A photo of {}', '{}']",2251,"['44188', '78214', '27706']",286,286
Felis concolor,mountain lion,"['An image of {}', 'A photo of {}', '{}']",3663,"['44188', '78214', '27706']",286,286
ounce,snow leopard,"['An image of {}', 'A photo of {}', '{}']",2024,"['57245', '98192', '97102']",289,289
Panthera uncia,snow leopard,"['An image of {}', 'A photo of {}', '{}']",8974,"['57245', '98192', '97102']",289,289
panther,jaguar,"['An image of {}', 'A photo of {}', '{}']",4916,[],290,290
Felis onca,jaguar,"['An image of {}', 'A photo of {}', '{}']",9687,[],290,290
Euarctos americanus,American black bear,"['An image of {}', 'A photo of {}', '{}']",3761,"['32991', '34303', '43375']",295,295
Ursus Maritimus,polar bear,"['An image of {}', 'A photo of {}', '{}']",783,"['80553', '21186', '80241']",296,296
Thalarctos maritimus,polar bear,"['An image of {}', 'A photo of {}', '{}']",9871,"['80553', '21186', '80241']",296,296
mierkat,meerkat,"['An image of {}', 'A photo of {}', '{}']",5147,"['17430', '52728', '83768']",299,299
longicorn,long-horned beetle,"['An image of {}', 'A photo of {}', '{}']",7761,"[20626, '94619', '97189']",303,303
emmet,ant,"['An image of {}', 'A photo of {}', '{}']",6977,"['29364', '65952', '84243']",310,310
pismire,ant,"['An image of {}', 'A photo of {}', '{}']",4478,"['29364', '65952', '84243']",310,310
darning needle,dragonfly,"['An image of {}', 'A photo of {}', '{}']",6482,"['94813', '83753', '18371']",319,319
devil's darning needle,dragonfly,"['An image of {}', 'A photo of {}', '{}']",2754,"['94813', '83753', '18371']",319,319
sewing needle,dragonfly,"['An image of {}', 'A photo of {}', '{}']",1313,"['94813', '83753', '18371']",319,319
snake feeder,dragonfly,"['An image of {}', 'A photo of {}', '{}']",759,"['94813', '83753', '18371']",319,319
snake doctor,dragonfly,"['An image of {}', 'A photo of {}', '{}']",7841,"['94813', '83753', '18371']",319,319
mosquito hawk,dragonfly,"['An image of {}', 'A photo of {}', '{}']",2195,"['94813', '83753', '18371']",319,319
skeeter hawk,dragonfly,"['An image of {}', 'A photo of {}', '{}']",7018,"['94813', '83753', '18371']",319,319
lycaenid,lycaenid butterfly,"['An image of {}', 'A photo of {}', '{}']",5308,[],326,326
grunter,pig,"['An image of {}', 'A photo of {}', '{}']",3133,[],341,341
squealer,pig,"['An image of {}', 'A photo of {}', '{}']",1933,[],341,341
Sus scrofa,wild boar,"['An image of {}', 'A photo of {}', '{}']",561,"['17288', '72424', '43045']",342,342
river horse,Hippopotamus amphibius,"['An image of {}', 'A photo of {}', '{}']",8268,"['90868', '68863', 17061]",344,344
cimarron,bighorn sheep,"['An image of {}', 'A photo of {}', '{}']",6541,"[6843, '37720', '39243']",349,349
polecat,skunk,"['An image of {}', 'A photo of {}', '{}']",436,"['2357', '21771', '69412']",361,361
wood pussy,skunk,"['An image of {}', 'A photo of {}', '{}']",5270,"['2357', '21771', '69412']",361,361
ai,three-toed sloth,"['An image of {}', 'A photo of {}', '{}']",5856,"['84519', '20593', '53889']",364,364
Bradypus tridactylus,three-toed sloth,"['An image of {}', 'A photo of {}', '{}']",8091,"['84519', '20593', '53889']",364,364
Pongo pygmaeus,orangutang,"['An image of {}', 'A photo of {}', '{}']",6980,"['89220', '71675', '54965']",365,365
Pan troglodytes,chimpanzee,"['An image of {}', 'A photo of {}', '{}']",8642,"['82440', '95918', '12526']",367,367
Hylobates lar,gibbon,"['An image of {}', 'A photo of {}', '{}']",930,[],368,368
